City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,brookings,44.3114,-96.7984,57.54,51,0,6.91,US,1697499543
162,hermanus,-34.4187,19.2345,59.27,91,24,10.58,ZA,1697499810
163,palmer,42.1584,-72.3287,52.25,81,75,8.05,US,1697499775
164,elliot lake,46.3834,-82.6331,43.23,75,0,5.91,CA,1697499810
165,east london,-33.0153,27.9116,61.05,88,88,8.57,ZA,1697499810
166,namibe,-15.1961,12.1522,63.99,83,56,5.44,AO,1697499811
167,adrian,41.8975,-84.0372,51.93,79,100,5.75,US,1697499786
168,mejit,10.2753,170.8646,82.87,74,43,15.48,MH,1697499766
169,saint-philippe,-21.3585,55.7679,72.99,91,83,2.26,RE,1697499811
170,uturoa,-16.7333,-151.4333,78.8,77,58,13.58,PF,1697499812
171,revda,56.801,59.9303,45.34,81,11,7.99,RU,1697499777
172,iquique,-20.2208,-70.1431,66.24,85,50,3.58,CL,1697499812
173,beloyarskiy,63.7119,66.6722,41.0,91,92,5.01,RU,1697499812
174,alamos,27.0167,-108.9333,96.8,24,1,9.04,MX,1697499812
175,selfoss,63.9331,-20.9971,38.05,86,100,3.8,IS,1697499813
176,lulea,65.5842,22.1547,33.87,86,51,8.05,SE,1697499813
177,pemangkat,1.1667,108.9667,79.3,88,100,5.68,ID,1697499813
178,babol,36.5513,52.679,64.13,82,44,5.61,IR,1697499813
179,mount pearl,47.5166,-52.7813,48.15,97,100,26.46,CA,1697499813
180,saipan,15.1355,145.701,83.1,83,20,9.22,MP,1697499814
181,berezanskaya,45.7056,39.5932,53.76,69,68,8.28,RU,1697499814
182,kukmor,56.1855,50.8944,53.56,52,98,17.63,RU,1697499814
183,prince rupert,54.3161,-130.3201,55.49,97,100,21.85,CA,1697499814
184,krasnovishersk,60.4078,57.082,51.55,87,99,12.15,RU,1697499815
185,puerto madryn,-42.7692,-65.0385,53.4,48,27,11.97,AR,1697499815
186,lindsay,36.203,-119.0882,86.77,28,0,8.05,US,1697499815
187,aykhal,66.0,111.5,25.07,94,100,11.01,RU,1697499815
188,sinabang,2.4803,96.3801,76.46,90,100,6.91,ID,1697499647
189,kailua-kona,19.6406,-155.9956,84.16,78,20,11.5,US,1697499715
190,gaspe,48.8334,-64.4819,48.11,81,40,3.44,CA,1697499816
191,seguela,7.9611,-6.6731,70.68,97,89,5.23,CI,1697499816
192,vinales,22.6164,-83.7078,75.94,60,75,11.54,CU,1697499816
193,vernal,40.4555,-109.5287,69.51,29,0,4.61,US,1697499719
194,bengkulu,-3.8004,102.2655,74.28,90,27,3.33,ID,1697499817
195,kihei,20.785,-156.4656,86.02,72,20,23.02,US,1697499817
196,alice springs,-23.7,133.8833,69.35,26,0,14.97,AU,1697499524
197,homer,59.6425,-151.5483,51.69,76,75,3.44,US,1697499659
198,nagqu,31.5,92.0,30.52,47,100,3.85,CN,1697499818
199,benghazi,32.1167,20.0667,75.79,69,0,6.62,LY,1697499818
200,soure,-0.7167,-48.5233,81.64,79,62,15.9,BR,1697499592
201,singaraja,-8.112,115.0882,83.19,61,69,0.6,ID,1697499818
202,muncar,-8.4333,114.3333,80.89,74,67,3.31,ID,1697499818
203,tamanrasset,22.785,5.5228,67.91,21,0,6.91,DZ,1697499819
204,ormara,25.2088,64.6357,79.32,83,37,11.32,PK,1697499819
205,kapuskasing,49.4169,-82.4331,42.8,75,20,3.44,CA,1697499819
206,invercargill,-46.4,168.35,52.02,60,73,11.99,NZ,1697499819
207,gannan,47.9147,123.5031,42.96,36,71,7.31,CN,1697499820
208,embi,48.8264,58.1442,45.99,68,0,9.51,KZ,1697499820
209,nadym,65.5333,72.5167,34.43,98,100,6.11,RU,1697499820
210,salekhard,66.53,66.6019,32.25,95,100,5.35,RU,1697499820
211,lospalos,-8.5186,127.0025,79.75,57,74,9.31,TL,1697499820
212,kolonia,50.9333,6.95,46.85,87,0,4.61,DE,1697499703
213,dutsin-ma,12.4517,7.4981,80.4,28,97,5.48,NG,1697499821
214,bucerias,20.75,-105.3333,87.78,74,75,9.22,MX,1697499821
215,puerto el triunfo,13.2833,-88.55,77.59,96,100,2.53,SV,1697499821
216,wuhai,39.6647,106.8122,54.12,27,82,6.93,CN,1697499821
217,veraval,20.9,70.3667,77.63,78,4,10.98,IN,1697499822
218,kuybyshev,55.4475,78.3218,46.67,90,96,5.88,RU,1697499822
219,laguna,38.421,-121.4238,83.17,47,0,10.36,US,1697499822
220,auki,-8.7676,160.7034,81.16,77,100,4.5,SB,1697499822
221,wamba,8.9333,8.6,73.69,95,94,2.62,NG,1697499823
222,turkmenbasy,40.0222,52.9552,65.17,59,75,3.6,TM,1697499823
223,tazovsky,67.4667,78.7,33.22,82,97,6.11,RU,1697499823
224,kindu,-2.95,25.95,68.86,98,79,2.93,CD,1697499823
225,coahuayana de hidalgo,18.7,-103.6583,79.52,93,79,4.97,MX,1697499824
226,sharm el-sheikh,27.8518,34.305,80.74,36,0,16.11,EG,1697499824
227,baikunthpur,23.25,82.55,67.86,74,5,1.43,IN,1697499824
228,owen sound,44.5672,-80.9435,48.88,83,0,8.01,CA,1697499639
229,mukalla,14.5425,49.1242,78.21,79,2,4.29,YE,1697499803
230,codrington,-38.2667,141.9667,56.82,56,0,3.76,AU,1697499723
231,erwin,36.1451,-82.4168,49.48,90,100,6.42,US,1697499825
232,yibin,28.7667,104.6238,68.16,86,100,1.52,CN,1697499825
233,canubing no 2,13.35,121.1333,82.09,84,85,4.59,PH,1697499825
234,sola,-13.8833,167.55,78.8,83,67,18.21,VU,1697499826
235,rongelap,11.1635,166.8941,83.53,76,81,18.75,MH,1697499826
236,colonia,50.9333,6.95,46.85,87,0,4.61,DE,1697499721
237,dalandzadgad,43.5708,104.425,41.32,37,100,5.1,MN,1697499788
238,georgetown,5.4112,100.3354,81.95,84,20,3.44,MY,1697499826
239,lihue,21.9789,-159.3672,81.99,72,20,10.36,US,1697499827
240,shache,38.4167,77.2406,60.17,29,100,3.71,CN,1697499827
241,thinadhoo,0.5333,72.9333,81.28,73,42,16.15,MV,1697499827
242,briancon,44.9,6.65,42.62,92,56,2.59,FR,1697499827
243,inhambane,-23.865,35.3833,69.24,90,100,6.06,MZ,1697499828
244,tolanaro,-25.0319,46.9987,73.47,83,75,6.91,MG,1697499609
245,vanimo,-2.6741,141.3028,82.0,73,95,5.06,PG,1697499828
246,portland,45.5234,-122.6762,65.21,93,100,6.91,US,1697499661
247,quiindy,-25.9667,-57.2667,89.65,33,21,5.73,PY,1697499828
248,rojhan,28.6868,69.9534,72.93,57,52,27.0,PK,1697499829
249,wajir,1.7471,40.0573,80.38,68,98,14.63,KE,1697499829
250,naze,28.3667,129.4833,72.52,54,0,10.29,JP,1697499829
251,jumla,29.2747,82.1838,46.33,78,100,4.63,NP,1697499829
252,port augusta,-32.5,137.7667,65.28,32,0,6.71,AU,1697499830
253,dankalwa,11.7443,12.1867,80.22,62,88,7.29,NG,1697499830
254,san antonio de pale,-1.4014,5.6325,77.81,82,100,11.16,GQ,1697499830
255,champerico,14.3,-91.9167,79.34,97,96,3.36,GT,1697499830
256,qurayyat,31.3318,37.3428,62.78,67,0,6.91,SA,1697499830
257,kargil,34.5667,76.1,35.19,70,100,4.61,IN,1697499831
258,slave lake,55.2834,-114.769,58.98,51,40,10.36,CA,1697499831
259,nantucket,41.2835,-70.0995,55.51,76,100,6.91,US,1697499534
260,lagrange,33.0393,-85.0313,56.07,62,100,8.05,US,1697499664
261,altay,47.8667,88.1167,33.55,46,7,8.3,CN,1697499831
262,ubari,26.5921,12.7805,71.55,20,0,5.64,LY,1697499832
263,visakhapatnam,17.69,83.2093,72.7,78,72,2.24,IN,1697499832
264,hats'avan,39.4641,45.9705,46.15,85,19,4.81,AM,1697499832
265,sayat,38.7839,63.8803,44.47,28,0,7.65,TM,1697499832
266,coquimbo,-29.9533,-71.3436,58.73,82,0,9.22,CL,1697499603
267,dudinka,69.4058,86.1778,31.68,98,100,5.99,RU,1697499833
268,aksu,41.1231,80.2644,53.64,37,24,7.27,CN,1697499833
269,puerto armuelles,8.2833,-82.8667,82.17,78,99,7.0,PA,1697499833
270,hami,42.8,93.45,49.37,45,99,6.53,CN,1697499753
